customerID,segment,propensity_score,snapshot_date,rec_type,window_used,risk_profile_verified,n_history_isins,rank_1_isin,rank_1_category,rank_1_score,rank_1_justification,rank_1_outside_hist,rank_2_isin,rank_2_category,rank_2_score,rank_2_justification,rank_2_outside_hist,rank_3_isin,rank_3_category,rank_3_score,rank_3_justification,rank_3_outside_hist
A77DFF56D3A2D0E21E22,warm,0.9714285714285714,2022-10-31,ease,365d,True,18,GRS239003007,Stock,1.065716,item_cf,False,GRS495003006,Stock,0.998655,item_cf,False,GRS001003037,Stock,0.707917,item_cf,False
CB8A0D4D71F631B2396B,warm,0.9714285714285714,2022-10-31,ease,365d,True,37,GRS087003000,Stock,1.676816,item_cf,False,GRS343313003,Stock,1.670745,item_cf,False,CY0109561015,Stock,1.530295,item_cf,False
D2C337549295AA89DE09,warm,0.9714285714285714,2022-10-31,ease,365d,True,22,GRS434003000,Stock,1.594568,item_cf,False,GRS015003007,Stock,1.289087,item_cf,False,GRS087003000,Stock,0.611907,item_cf,False
90BF28B439D48D60C1F4,warm,0.963855421686747,2022-10-31,ease,365d,True,30,GRS434003000,Stock,1.892456,item_cf,False,GRS003003035,Stock,1.132317,item_cf,False,GRS239003007,Stock,1.044247,item_cf,False
8C99A66D9E82778743BB,warm,0.963855421686747,2022-10-31,ease,365d,True,34,GRS419003009,Stock,2.035049,item_cf,False,GRS281003004,Stock,1.985972,item_cf,False,100974271034,Stock,1.693968,item_cf,False
DD35198E5AFDB753ED0D,warm,0.963855421686747,2022-10-31,ease,365d,True,61,GRS426003000,Stock,2.466183,item_cf,False,GRS343313003,Stock,2.279858,item_cf,False,GRS015003007,Stock,1.568008,item_cf,False
535266109F7417B87AD6,warm,0.9569268511746528,2022-10-31,ease,365d,True,29,GRS393503008,Stock,1.782441,item_cf,False,GRS003003035,Stock,1.21753,item_cf,False,GRS298343005,Stock,1.176484,item_cf,False
4557F7C55ACBCBBB4901,warm,0.9566787003610108,2022-10-31,ease,365d,True,20,GRS434003000,Stock,1.221072,item_cf,False,GRS245213004,Stock,1.025415,item_cf,False,GRS393503008,Stock,0.983221,item_cf,False
CC32D15C77AE274B3F73,warm,0.9566787003610108,2022-10-31,ease,365d,True,23,GRS434003000,Stock,1.209978,item_cf,False,GRS323003012,Stock,1.201732,item_cf,False,GRS310003009,Stock,0.957641,item_cf,False
AFA70DC9566646F0D9D5,warm,0.9566787003610108,2022-10-31,ease,365d,True,19,GRS434003000,Stock,1.158775,item_cf,False,GRS393503008,Stock,1.103607,item_cf,False,GRS426003000,Stock,0.664609,item_cf,False
E1CA005493988853A768,warm,0.9566787003610108,2022-10-31,ease,365d,True,23,GRS323003012,Stock,1.262829,item_cf,False,GRS003003035,Stock,1.19023,item_cf,False,GRS432003028,Stock,1.096451,item_cf,False
0A4983D59B6972C27BF1,warm,0.9566787003610108,2022-10-31,ease,365d,True,24,GRS395363005,Stock,1.300886,item_cf,False,GRS191213008,Stock,1.202255,item_cf,False,GRS282183003,Stock,1.154496,item_cf,False
